TIPOVOL;GRED;ISBN;CODVOL;TITOLO;ANNO;PREZZO;PESO;PAGINE
0-Scolastico;01C;9788808454386;45438;AA.VV.*BIENVENUE A BORD 2       LDM ;19;17.20;480;192
0-Scolastico;01C;9788808514097;51409;AA.VV.*BIENVENUE A BORD 3       LDM ;19;19.20;480;192
0-Scolastico;01C;9788808690296;69029;AA.VV.*BIENVENUE A BORD IMPARARE LD ;19;12.40;350;136
0-Scolastico;01C;9788808516466;51646;AA.VV.*BIENVENUE A BORD U       LDM ;20;30.00;1060;424
0-Scolastico;01Z;9788808253804;25380;ANDOLFI E AL*QUICK STEP(COST.2ED)LM ;04;21.10;580;228
0-Scolastico;01Q;9788808777690;77769;"ARPINATI""MUS*MAT AZ 3E 2.0 1    LDM ";17;26.60;1570;728
0-Scolastico;01Q;9788808295200;29520;"ARPINATI""MUS*MAT AZ 3E 2.0 2    LDM ";17;26.30;1320;536
0-Scolastico;01Q;9788808892317;89231;"ARPINATI""MUS*MAT AZ 3E 2.0 3    LDM ";17;26.90;1350;544
0-Scolastico;01Q;9788808844361;84436;"ARPINATI""MUS*MAT.AZ 2.0 INVALSI 4ED ";18;6.60;250;96
0-Scolastico;01Q;9788808257789;25778;"ARPINATI""MUS*VIS MAT.SERVE CNF1 LDM ";14;25.30;1340;584
0-Scolastico;01Q;9788808501073;50107;"ARPINATI""MUS*VIS MAT.SERVE CNF2 LDM ";14;25.30;1200;480
0-Scolastico;01Q;9788808601070;60107;"ARPINATI""MUS*VIS MAT.SERVE CNF3 LDM ";14;24.20;1150;440
0-Scolastico;01Q;9788808936462;93646;"ARPINATI""MUSIANI*MAT AZ 3E CNF1 LDM ";15;27.20;1450;720
0-Scolastico;01Q;9788808236470;23647;"ARPINATI""MUSIANI*MAT AZ 3E CNF2 LDM ";15;26.80;1350;536
0-Scolastico;01Q;9788808436474;43647;"ARPINATI""MUSIANI*MAT AZ 3E CNF3 LDM ";15;27.60;1100;544
0-Scolastico;01Q;9788808736475;73647;"ARPINATI""MUSIANI*MAT AZ 3E IMPAR 1  ";15;9.90;470;192
0-Scolastico;01Q;9788808836472;83647;"ARPINATI""MUSIANI*MAT AZ 3E IMPAR 2  ";15;8.60;400;160
0-Scolastico;01Q;9788808936479;93647;"ARPINATI""MUSIANI*MAT AZ 3E IMPAR 3  ";15;8.60;410;160
0-Scolastico;01Q;9788808620378;62037;"ARPINATI""MUSIANI*MAT AZ 4E CNF1 LDM ";21;26.60;1530;760
0-Scolastico;01Q;9788808493668;49366;"ARPINATI""MUSIANI*MAT AZ 4E CNF2 LDM ";21;25.91;0;568
0-Scolastico;01Q;9788808967015;96701;"ARPINATI""MUSIANI*MAT AZ 4E CNF3 LDM ";21;26.71;0;536
0-Scolastico;01Q;9788808505415;50541;"ARPINATI""MUSIANI*MAT AZ 4E IMPARA 1 ";21;10.81;0;208
0-Scolastico;01Q;9788808614070;61407;"ARPINATI""MUSIANI*MAT AZ 4E IMPARA 2 ";21;9.51;0;176
0-Scolastico;01Q;9788808721747;72174;"ARPINATI""MUSIANI*MAT AZ 4E IMPARA 3 ";21;9.51;0;176
0-Scolastico;01Q;9788808944443;94444;"ARPINATI""MUSIANI*MAT AZ INVALSI 5E  ";20;7.41;0;104
